AV5_8OrWtUQoPd9mybje,0.02854400000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_8Om2tUQoPd9mybjc,0.01584200000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_8PQ7tUQoPd9mybju,0.01656400000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_8PHhtUQoPd9mybjq,0.01649400000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6AL1hNtUQoPd9mybkR,0.01784500000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_8PC2tUQoPd9mybjo,0.02617300000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_t_9ktUQoPd9mybZn,0.01477700000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_t_z6tUQoPd9mybZj,0.05702400000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_t_CytUQoPd9mybZM,0.02196300000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_8OR-tUQoPd9mybjT,0.01338700000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
